Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 66
Bolivia,BOL,Maternal leave benefits (% of wages paid in covered period),SH.MMR.WAGE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,100.0,,100.0,,100.0,,,,,
Bolivia,BOL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.98631039,80.77731881,81.54188419,82.2924509,83.03298988,83.76284924,84.48315277,85.1929341,85.89324953,86.58319782,87.26318343,87.93356681,88.59412659,89.23058742,89.85011389,90.46214101,91.06696927,91.66415923,92.25507792,92.82597527,93.39007163,,
Bolivia,BOL,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.38261311,95.56971904,95.75683254,95.94395361,96.13108226,96.31821847,96.50536226,96.69251362,96.87967255,97.06683906,97.25401313,97.44119478,97.628384,97.81558079,98.00278515,98.18999708,98.37721658,98.56444366,98.75167831,98.93689831,99.12211832,,
Bolivia,BOL,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.85301548,35.99628542,37.12270953,38.24250317,39.35902795,40.4716573,41.5813814,43.17945511,44.80062579,46.44376636,48.10902933,49.7965629,51.50589073,53.21966433,54.94452469,56.69117865,58.45982722,60.24970578,62.06257966,63.89830649,65.75642485,,
Bolivia,BOL,"People using at least basic sanitation services, urban  (% of urban population)",SH.STA.BASS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.73882879,48.60104708,49.46326538,50.32548367,51.18770196,52.04992026,52.91213855,54.36738983,55.84165849,57.33494455,58.84724799,60.37856882,61.92890703,63.49826263,65.08663562,66.694026,68.32043377,69.96585892,71.63030146,73.31376139,75.0162387,,
Bolivia,BOL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.98748229,28.91301607,29.82490728,30.73120179,31.63453919,32.53443214,33.43165522,34.72125995,36.02920376,37.35459872,38.6975507,40.05816061,41.43604754,42.81789635,44.20886732,45.61717777,47.04296958,48.48564858,49.94654184,51.4255202,52.92221398,,
Bolivia,BOL,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.67097403,26.70289996,26.73461087,26.7622233,26.7872485,26.81212733,26.83693636,26.86152814,26.8863367,26.91136135,26.93652778,,
Bolivia,BOL,"People with basic handwashing facilities including soap and water, urban (% of urban population)",SH.STA.HYGN.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,29.08491562,,
Bolivia,BOL,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80599999427795,3.01500010490417,2.85999989509583,2.83500003814697,2.57299995422363,2.32399988174438,2.03399991989136,2.15899991989136,2.51200008392334,2.54500007629395,2.7279999256134,2.8199999332428,2.94400000572205,2.98799991607666,3.1029999256134,3.20799994468689,3.37100005149841,3.38599991798401,3.62199997901917,3.15700006484985,2.68300008773804,2.83500003814697,3.03299999237061,2.87800002098084,3.8050000667572,4.04300022125244,4.05299997329712,3.61500000953674,4.39599990844727,9.84000015258789,10.7250003814697,
Bolivia,BOL,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06299996376038,3.43300008773804,3.24200010299683,3.25500011444092,2.88199996948242,2.52900004386902,2.11400008201599,2.10800004005432,2.39299988746643,2.25600004196167,2.30699992179871,2.25099992752075,2.23200011253357,2.13599991798401,2.11500000953674,2.08500003814697,2.10199999809265,2.00099992752075,2.46799993515015,2.20099997520447,1.92200005054474,1.51400005817413,2.00200009346008,1.37300002574921,2.63000011444092,3.09999990463257,3.34299993515015,3.44400000572205,3.38299989700317,6.45900011062622,6.68699979782104,
