Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2009-0601-USA,2009,0601,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Texas, Nebraska, Oklahoma, Kansas, North Carolina, Alabama, Missouri, Arkansas, Pennsylvania, Tennessee, Mississippi, South Carolina, Kentucky provinces",,Hail,Flood,,,,,128,Kph,,,,,2009,6,10,2009,6,18,1,2,,,2,,,1100000,1389348,2000000,2526088,79.17380276,1,3214;3217;3230;3231;3238;3239;3241;3247;3250;3252;3254;3256;3257,,"Alabama, Arkansas, Kansas, Kentucky, Mississippi, Missouri, Nebraska, North Carolina, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas (Adm1)."
2009-0244-USA,2009,0244,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Dallas, Tarrant, Harris, Galveston, Swisher districts (Texas province)",,Hail,Flood,,,,,,Kph,,,,,2009,4,16,2009,4,18,6,,,,,,,200000,252609,240000,303131,79.17380276,2,,31256;31283;31300;31418;31419,"Dallas, Galveston, Harris, Swisher, Tarrant (Adm2)."
2009-0239-PHL,2009,0239,,Natural,Meteorological,Storm,Tropical cyclone,,"Topical Storm ""Feria"" (Nangka)",Philippines (the),PHL,South-Eastern Asia,Asia,"Metropolitan Manila district (National Capital region (NCR) province), Pampanga district (Region III (Central Luzon) province), Batangas, Cavite, Quezon districts (Region IV-A (Calabarzon) province), Romblon, Mindoro Oriental, Mindoro Occidental, Marinduque districts (Region IV (Southern Tagalog) province), Albay, Camarines Sur, Masbate districts (Region V (Bicol region) province), Antique district (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Region VIII (Eastern Visayas) province",,"Slide (land, mud, snow, rock)",Surge,,,,,83,Kph,,,,,2009,7,23,2009,7,26,16,5,110400,,110405,,,,,4281,5407,79.17380276,1;2,2364,24210;24223;24227;24228;24230;24231;24232;24234;24236;24240;24242;24244;24247;24253,"Region VIII (Eastern Visayas) (Adm1). Albay, Antique, Batangas, Camarines Sur, Cavite, Cebu, Marinduque, Masbate, Metropolitan Manila, Mindoro Occidental, Mindoro Oriental, Pampanga, Quezon, Romblon (Adm2)."
2009-0360-PHL,2009,0360,TC-2009-000175,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Labuyo (Dujuan),Philippines (the),PHL,South-Eastern Asia,Asia,"Botolan area (Zambales district, Region III (Central Luzon) province), Pilar, Morong, Hermosa, Dinalupihan areas (Bataan district, Region III (Central Luzon) province), Sibalom area (Antique district, Region VI (Western Visayas) province), San Erique, Pontevedra, La Carlota City, Valladolid, Hinigaran areas (Negros Occidental district, Region VI (Western Visayas) province), Bayawan city (Negros Oriental district, Region VII (Central Visayas) province)",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2009,9,2,2009,9,8,1,,95700,,95700,,,,,,,79.17380276,2,,24220;24225;24247;24251;24254,"Antique, Bataan, Negros Occidental, Negros Oriental, Zambales (Adm2)."
2009-0478-PHL,2009,0478,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Mirinae"" (Santi)",Philippines (the),PHL,South-Eastern Asia,Asia,"Aurora, Bataan, Bulacan districts (Region III (Central Luzon) province), Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur districts (Region V (Bicol region) province), National Capital region (NCR), Region IV-A (Calabarzon) province",,"Slide (land, mud, snow, rock)",,,,,,140,Kph,,,,,2009,10,28,2009,10,28,39,20,802155,,802175,,,,,15194,19191,79.17380276,1;2,2355;67166,24220;24221;24226;24231;24232;24240;24241;24242,"National Capital region (NCR), Region IV-A (Calabarzon) (Adm1). Albay, Aurora, Bataan, Bulacan, Camarines Norte, Camarines Sur, Mindoro Occidental, Mindoro Oriental (Adm2)."
2009-0521-PHL,2009,0521,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical depression ""Urduja""",Philippines (the),PHL,South-Eastern Asia,Asia,"Agusan del Norte district (Region XIII (Caraga) province), Region VII (Central Visayas), Region X (Northern Mindanao) provinces",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2009,11,25,2009,11,25,4,13,48129,,48142,,,,,12,15,79.17380276,1;2,2363;67160,24275,"Region VII (Central Visayas), Region X (Northern Mindanao) (Adm1). Agusan Del Norte (Adm2)."
2009-0574-PHL,2009,0574,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Camalig, Daraga, Legaspi city, Tabaco, Malilipot, Santo Domingo, Ligao, Guinobatan areas (Albay district, Region V (Bicol region) province)",,Earthquake,,Yes,,,100,,,13.257,123.685,,,2009,12,14,2009,12,20,,,47137,,47137,,,,,,,79.17380276,2,,24240,Albay (Adm2).
2009-0644-USA,2009,0644,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Texas, Missouri, Louisiana provinces",,Hail,,,,,,,Kph,,,,,2009,3,26,2009,3,28,6,25,,,25,,,800000,1010435,1500000,1894566,79.17380276,1,3232;3239;3257,,"Louisiana, Missouri, Texas (Adm1)."
2009-0603-USA,2009,0603,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Denver, Wheat Ridge, Lakewood, Arvada areas (Denver district, Colorado province)",,Hail,,,,,,,Kph,,,,,2009,7,20,2009,7,21,1,,,,,,,800000,1010435,1000000,1263044,79.17380276,2,,28938,Denver (Adm2).
2009-0287-USA,2009,0287,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Ohio, Oklahoma, Kentucky, Texas, Tennessee, Pennsylvania, West Virginia, Maryland, Washington provinces",,Rain,,,,,,146,Kph,,,,,2009,2,10,2009,2,13,16,50,,,50,,,1350000,1705109,2500000,3157610,79.17380276,1,3231;3234;3249;3250;3252;3256;3257;3261;3262,,"Kentucky, Maryland, Ohio, Oklahoma, Pennsylvania, Tennessee, Texas, Washington, West Virginia (Adm1)."
2009-0414-PHL,2009,0414,FL-2009-000207,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Ondoy"" (Ketsana)",Philippines (the),PHL,South-Eastern Asia,Asia,"Bolinao, Sual, Dagupan areas (Pangasinan district, Region I (Ilocos region) province), Rizal, Cabarroguis areas (Quirino district, Region II (Cagayan Valley) province), Mandaluyong, Manila, Marikina, Muntinlupa, Navotas, Paranaque, Pasig, Las Pinas, Caloocan, Makati, Valenzuela, Malabon, Pateros, Quezon, Taguig, San Juan, Pasay areas (Metropolitan Manila district, National Capital region (NCR) province), Balanga, Orani, Mariveles, Hermosa areas (Bataan district, Region III (Central Luzon) province), Angat, Balagtas, Baliwag, Bocaue, Bulacan, Bustos, Calumpit, Guiguinto, Hagonoy, Malolos, Marilao, Meycauayan, Plaridel, San Miguel areas (Bulacan district, Region III (Central Luzon) province), Arayal, Bacolor, Lubao, Mabelacat, San Simon, San Luis, San Fernando city, Sto.Tomas, Floridablanca, Sta.Rita areas (Pampanga district, Region III (Central Luzon) province), Licab area (Nueva Ecija district, Region III (Central Luzon) province), Magsaysay, San Jose areas (Mindoro Occidental district, Region IV (Southern Tagalog) province), Naga City, Sangay, Pasacao areas (Camarines Sur district, Region V (Bicol region) province), San Pascuan area (Masbate district, Region V (Bicol region) province), Pioduran area (Albay district, Region V (Bicol region) province), Pilar area (Sorsogon district, Region V (Bicol region) province), Zamboanga city (Zamboanga Del Sur district, Region IX (Zamboanga Peninsula) province), Kalamasig area (Sultan Kudarat district, Region XII (Soccsksargen) province), Kabugao area (Apayao district, Cordillera Administrative region (CAR) province), Kabayan area (Benguet district, Cordillera Administrative region (CAR) province), Region IV-A (Calabarzon) province",,Flood,,Yes,,,95446,,Kph,,,,,2009,9,24,2009,9,27,501,529,4901234,,4901763,,,,,237489,299959,79.17380276,1;2,67166,24205;24206;24210;24214;24219;24220;24221;24222;24223;24231;24240;24242;24244;24245;24274;67164,"Region IV-A (Calabarzon) (Adm1). Albay, Apayao, Bataan, Benguet, Bulacan, Camarines Sur, Masbate, Metropolitan Manila, Mindoro Occidental, Nueva Ecija, Pampanga, Pangasinan, Quirino, Sorsogon, Sultan Kudarat, Zamboanga Del Sur (Adm2)."
2009-0606-PHL,2009,0606,,Natural,Meteorological,Storm,Tropical cyclone,,Goni (Jolina),Philippines (the),PHL,South-Eastern Asia,Asia,"Panay area (Capiz district, Region VI (Western Visayas) province), Negros Occidental, Negros Oriental districts (Region VII (Central Visayas) province), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,Flood,,,,,,,Kph,,,,,2009,8,1,2009,8,3,14,10,221412,,221422,,,,,2888,3648,79.17380276,1;2,67159;67160;67161;67162;67165,24248;24251;24254,"Region III (Central Luzon), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen) (Adm1). Capiz, Negros Occidental, Negros Oriental (Adm2)."
2009-0477-USA,2009,0477,TC-2009-000232,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Ida""",United States of America (the),USA,Northern America,Americas,"Kent, Sussex districts (Delaware province), Atlantic, Burlington, Cape May, Cumberland, Monmouth, Ocean districts (New Jersey province), Virginia, New York, North Carolina, Pennsylvannia provinces",,Flood,,,,Yes,,,Kph,,,,,2009,11,9,2009,11,10,6,,,,,,,,,600000,757826,79.17380276,1;2,3246;3247;3252;3260,28994;28996;30451;30453;30455;30456;30463;30465,"New York, North Carolina, Pennsylvania, Virginia (Adm1). Atlantic, Burlington, Cape May, Cumberland, Kent, Monmouth, Ocean, Sussex (Adm2)."
2009-9651-NER,2009,9651,OT-2010-000028,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Agadez, Diffa, Dosso, Maradi, Tahoua, Tillaberi, Zinder, Niamey provinces",Irregular rain,Food shortage,,Yes,,,,,Km2,,,,,2009,9,,2010,3,,,,7900000,,7900000,,,,,,,79.17380276,1,2202;2203;2204;2205;2206;2207;2208;2209,,"Agadez, Diffa, Dosso, Maradi, Niamey, Tahoua, Tillaberi, Zinder (Adm1)."
2009-9654-TCD,2009,9654,OT-2010-000056,Natural,Climatological,Drought,Drought,,,Chad,TCD,Middle Africa,Africa,"Kanem, Barl El Gazal, Lac, Batha Est, Batha Ouest, Guera, Sila, Salamat, Ouaddai, Hadjer Lamis provinces","Poor, irregular, dispersed and eraly cessation of rainfall",Food shortage,,Yes,,,,,Km2,,,,,2009,12,,2010,7,,,,2400000,,2400000,,,,,,,79.17380276,1,873;875;881;12904;12905;12912;12914;12915;12927;12928,,"Barl El Gazal, Batha Est, Batha Ouest, Guera, Hadjer Lamis, Kanem, Lac, Ouaddai, Salamat, Sila (Adm1)."
2009-0342-USA,2009,0342,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Bill,United States of America (the),USA,Northern America,Americas,Maine province,,Surge,,,,,,,Kph,,,,,2009,8,23,2009,8,23,3,9,,,9,,,,,,,79.17380276,1,3233,,Maine (Adm1).
2009-0477-MEX,2009,0477,TC-2009-000232,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Ida""",Mexico,MEX,Central America,Americas,Tabasco province,,,,,,Yes,,,Kph,,,,,2009,11,8,2009,11,8,,,40000,,40000,,,,,,,79.17380276,1,2054,,Tabasco (Adm1).
2009-0193-PHL,2009,0193,,Natural,Meteorological,Storm,Convective storm,Tornado,,Philippines (the),PHL,South-Eastern Asia,Asia,"Shariff Kabunsuan, Maguindanao districts (Autonomous region in Muslim Mindanao (ARMM) province)",,,,,,,,,Kph,,,,,2009,5,15,2009,5,15,,,,100,100,,,,,5,6,79.17380276,2,,67174;67175,"Maguindanao, Shariff Kabunsuan (Adm2)."
2009-0404-PHL,2009,0404,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Norala, Sto. Nino areas (South Cotabato district, Region XII (Soccsksargen) province)",,,,,,,,6,Richter,6.513,124.715,,,2009,9,18,2009,9,19,,2,380,10,392,,,,,90,114,79.17380276,2,,24271,South Cotabato (Adm2).
2009-0265-PHL,2009,0265,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Isang"" (Molave)",Philippines (the),PHL,South-Eastern Asia,Asia,"Dingras, Nueva Era, Paoay, Batac, Adams, Pinili, Piddig, San Nicolas, Banna, Marcos, Solsona, Sarrat, Pasuqion areas (Ilocos Norte district, Region I (Ilocos region) province), Naic, Kawit, Noveleta, Bacoor, Cavite areas (Cavite district, Region IV-A (Calabarzon) province), San Mateo, Rodriguez areas (Rizal district, Region IV-A (Calabarzon) province), Passig, Las Pinas, Marikina, Quezon, Taguig areas (Metropolitan Manila district, National Capital region (NCR) province)",,,,,,,,,Kph,,,,,2009,7,18,2009,7,18,5,1,248057,,248058,,,,,,,79.17380276,2,,24210;24211;24228;24235,"Cavite, Ilocos Norte, Metropolitan Manila, Rizal (Adm2)."
2009-0604-USA,2009,0604,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Illinois, Missouri provinces",,,,,,,,,Kph,,,,,2009,5,7,2009,5,9,7,,,,,,,600000,757826,850000,1073587,79.17380276,1,3227;3239,,"Illinois, Missouri (Adm1)."
2009-0599-USA,2009,0599,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Alabama, North Carolina, South Dakota, Pennsylvania, Texas, Oklahoma provinces",,,,,,Yes,,,Kph,,,,,2009,12,23,2009,12,25,19,,,,,,,,,,,79.17380276,1,3214;3247;3250;3252;3255;3257,,"Alabama, North Carolina, Oklahoma, Pennsylvania, South Dakota, Texas (Adm1)."
2010-0503-MEX,2010,0503,TC-2010-000188,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Matthew,Mexico,MEX,Central America,Americas,"Chiapas, Veracruz, Tabasco, Oaxaca, Nuevo León provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2010,9,25,2010,9,25,3,,1075,,1075,,,,,,,80.47228515,1,2032;2046;2047;2054;2057,,"Chiapas, Nuevo Leon, Oaxaca, Tabasco, Veracruz (Adm1)."
2010-0690-USA,2010,0690,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Colorado, Georgia, Illinois, Kansas, North Carolina, New Mexico, Oklahoma, South Carolina provinces",,Flood,Hail,,,,,97,Kph,,,,,2010,5,10,2010,5,16,20,,,,,,,,,,,80.47228515,1,3219;3224;3227;3230;3245;3247;3250;3254,,"Colorado, Georgia, Illinois, Kansas, New Mexico, North Carolina, Oklahoma, South Carolina (Adm1)."
2010-0426-MEX,2010,0426,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Frank,Mexico,MEX,Central America,Americas,"Oaxaca, Tabasco, Veracruz provinces",,"Slide (land, mud, snow, rock)",Flood,,,Yes,,,Kph,,,,,2010,8,23,2010,8,24,6,,154000,,154000,,,,,,,80.47228515,1,2047;2054;2057,,"Oaxaca, Tabasco, Veracruz (Adm1)."
2010-0196-USA,2010,0196,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,Oklahoma province,,Hail,,,,,,,Kph,,,,,2010,5,12,2010,5,16,5,58,,,58,,,2000000,2485328,2700000,3355192,80.47228515,1,3250,,Oklahoma (Adm1).
2010-0468-USA,2010,0468,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Earl,United States of America (the),USA,Northern America,Americas,"North Carolina, Virginia, Maryland, Massachusetts, Rhode Island provinces",,Rain,,,,Yes,,,Kph,,,,,2010,9,3,2010,9,3,1,,,,,,,,,100000,124266,80.47228515,1,3234;3235;3247;3253;3260,,"Maryland, Massachusetts, North Carolina, Rhode Island, Virginia (Adm1)."
2010-0260-MEX,2010,0260,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Alex""",Mexico,MEX,Central America,Americas,"Nuevo Leon, Coahuila, Tamaulipas, Oaxaca provinces",,Flood,,Yes,,Yes,,135,Kph,,,,,2010,6,30,2010,7,7,22,,170000,,170000,,,,,2000000,2485328,80.47228515,1,2034;2046;2047;2055,,"Coahuila, Nuevo Leon, Oaxaca, Tamaulipas (Adm1)."
2010-0494-MEX,2010,0494,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Karl,Mexico,MEX,Central America,Americas,"Campeche, Veracruz, Tabasco, Puebla provinces",,Flood,,,,Yes,,195,Kph,,,,,2010,9,15,2010,9,17,12,,230000,,230000,,,150000,186400,3900000,4846389,80.47228515,1,2031;2048;2054;2057,,"Campeche, Puebla, Tabasco, Veracruz (Adm1)."
2010-0308-PHL,2010,0308,TC-2010-000131,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Conson (Basyang),Philippines (the),PHL,South-Eastern Asia,Asia,"Manila City, Muntinlupa City, Pateros areas (Metropolitan Manila district, National Capital region (NCR) province), Dingalan area (Aurora district, Region III (Central Luzon) province), Abucay, Bagac, Balanga, Limay, Mariveles, Morong, Orani, Orion, Samal (Bataan district, Region III (Central Luzon) province), Malolos city (Bulacan district, Region III (Central Luzon) province), Masantol area (Pampanga district, Region III (Central Luzon) province), Basud, Capalonga, Daet, Jose Panganiban, Labo, Mercedes, Paracale, San Lorenzo Ruiz, Santa Elena, Talisay, Vinzons areas (Camarines Norte district, Region V (Bicol region) province), Bombon, Caramoan, Lagonoy, Pasacao, Siruma areas (Camarines Sur district, Region V (Bicol region) province), Bagamanoc, Caramoran, Gigmoto, Pandan areas (Catanduanes district, Region V (Bicol region) province), Region IV-A (Calabarzon) province",,Flood,,,,Yes,,120,Kph,17.1,121.47,,,2010,7,12,2010,7,15,146,91,585383,,585474,,,,,8675,10780,80.47228515,1;2,67166,24210;24220;24221;24223;24226;24241;24242;24243,"Region IV-A (Calabarzon) (Adm1). Aurora, Bataan, Bulacan, Camarines Norte, Camarines Sur, Catanduanes, Metropolitan Manila, Pampanga (Adm2)."
2010-0689-USA,2010,0689,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska provinces",,Flood,,,,,,,Kph,,,,,2010,6,17,2010,6,20,20,100,,,100,,,800000,994131,,,80.47228515,1,3227;3228;3229;3230;3236;3237;3239;3240;3241,,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Montana, Nebraska (Adm1)."
2010-0187-USA,2010,0187,,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,"Alabama, Arkansas, Mississippi, Kentucky, Tennessee provinces",Heavy rains,Flood,,,,,,320,Kph,36.07,-87.28,,,2010,4,30,2010,5,3,30,,8000,,8000,,,800000,994131,2350000,2920260,80.47228515,1,3214;3217;3231;3238;3256,,"Alabama, Arkansas, Kentucky, Mississippi, Tennessee (Adm1)."
2010-0612-USA,2010,0612,,Natural,Meteorological,Storm,Convective storm,,,United States of America (the),USA,Northern America,Americas,"Connecticut, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island provinces",,Flood,,,,,,,Kph,,,,,2010,3,13,2010,3,15,11,,,,,,,1220000,1516050,1500000,1863996,80.47228515,1,3220;3235;3243;3244;3246;3252;3253,,"Connecticut, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island (Adm1)."
2010-0522-USA,2010,0522,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Hermine,United States of America (the),USA,Northern America,Americas,Texas province,,Flood,,,,,,,Kph,28.89,-97.06,,,2010,9,7,2010,9,11,8,,,,,,,,,,,80.47228515,1,3257,,Texas (Adm1).
2010-0383-PHL,2010,0383,TC-2010-000157,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Ester (Dianmu),Philippines (the),PHL,South-Eastern Asia,Asia,"Sitio Sabitan area (Santo Rosario borough, Malolos city, Bulacan district, Region III (Central Luzon) province), Navostas area (Metropolitan Manila district, National Capital region (NCR) province), Region IV (Southern Tagalog) province",,Transport accident,,,,,,95,Kph,,,,,2010,8,9,2010,8,9,31,,1045,,1045,,,,,,,80.47228515,1;2,67167,24210;24221,"Region IV (Southern Tagalog) (Adm1). Bulacan, Metropolitan Manila (Adm2)."
2010-0158-MEX,2010,0158,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Mexicali district (Baja California province),,,,,,Yes,,7,Richter,32.2861667,-115.2953333,,,2010,4,4,2010,4,4,2,232,25000,,25232,,,400000,497066,1150000,1429063,80.47228515,2,,19586,Mexicali (Adm2).
2010-0606-PHL,2010,0606,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Casiguran, Juban, Irosin, Magallanes areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2010,11,9,2010,11,9,,,14161,,14161,,,,,,,80.47228515,2,,24245,Sorsogon (Adm2).
2010-0543-PHL,2010,0543,TC-2010-000205,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Megi (Juan),Philippines (the),PHL,South-Eastern Asia,Asia,"Aringuay, Bangar areas (La Union district, Region I (Ilocos region) province), Bolinao areas (Pangasinan district, Region I (Ilocos region) province), Aparri, Claveria, Gonzaga, Iguig, Lasam, Rizal, Santa Aba, Santa Praxedes, Santa Teresita, Santo Nino, Tiao areas (Cagayan district, Region II (Cagayan Valley) province), Dinapigue, Divilacan, San Mariano, Santa Maria (Isabela district, Region II (Cagayan Valley) province), Casiguran, Dilasag, Dinalungan areas (Aurora district, Region III (Central Luzon) province), Bagio City, Itogon, La Trinidad, Tublay areas (Benguet district, Cordillera Administrative region (CAR) province), Pinukbuk, Tabuk areas (Kalinga district, Cordillera Administrative region (CAR) province), Tadian area (Mountain Province district, Cordillera Administrative region (CAR) province)",,,,Yes,,Yes,,260,Kph,,,,,2010,10,18,2010,10,18,35,42,2008984,,2009026,,,,,275745,342658,80.47228515,2,,24206;24208;24209;24213;24214;24216;24217;24226,"Aurora, Benguet, Cagayan, Isabela, Kalinga, La Union, Mountain Province, Pangasinan (Adm2)."
2010-0163-USA,2010,0163,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Yazoo district (Mississippi province), Alabama, Louisiana, Arkansas, Georgia, Tennessee provinces",,,,,,Yes,,241,Kph,,,,,2010,4,24,2010,4,24,12,70,2700,,2770,,,,,,,80.47228515,1;2,3214;3217;3224;3232;3256,30160,"Alabama, Arkansas, Georgia, Louisiana, Tennessee (Adm1). Yazoo (Adm2)."
2010-0663-USA,2010,0663,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Arkansas, Missouri, Illinois provinces",,,,,,,,,Kph,,,,,2010,12,31,2011,1,1,8,13,,,13,,,,,,,80.47228515,1,3217;3227;3239,,"Arkansas, Illinois, Missouri (Adm1)."
2010-0045-USA,2010,0045,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New Jersey, Pennsylvania, Maryland, North Carolina, Delaware, District of Columbia, Virginia provinces",,,,,,Yes,,,Kph,,,,,2010,2,5,2010,2,11,2,,,,,,,,,2000000,2485328,80.47228515,1,3221;3222;3234;3244;3247;3252;3260,,"Delaware, District of Columbia, Maryland, New Jersey, North Carolina, Pennsylvania, Virginia (Adm1)."
2010-0089-USA,2010,0089,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"New York, District of Columbia, New Jersey, Pennsylvania, New Hampshire, Massachusetts, Maine, Connecticut, Rhode Island, Vermont provinces",,,,,,Yes,,151,Kph,,,,,2010,2,23,2010,2,28,1,,,,,,,450000,559199,500000,621332,80.47228515,1,3220;3222;3233;3235;3243;3244;3246;3252;3253;3259,,"Connecticut, District of Columbia, Maine, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont (Adm1)."
2010-0655-USA,2010,0655,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Boston city (Suffolk district, Massachusetts province), Philadelphia district (Pennsylvania province), Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), New York, North Carolina, Delaware, Maryland, Rhode Island, Virginia provinces",,,,,,Yes,,,Kph,,,,,2010,12,26,2010,12,26,,,,,,,,,,,,80.47228515,1;2,3221;3234;3246;3247;3253;3260,29095;29097;29108;29124;29131;29907;30971,"Delaware, Maryland, New York, North Carolina, Rhode Island, Virginia (Adm1). Clayton, Cobb, DeKalb, Fulton, Gwinnett, Philadelphia, Suffolk (Adm2)."
2010-0027-USA,2010,0027,,Natural,Geophysical,Earthquake,Ground movement,,,United States of America (the),USA,Northern America,Americas,"Ferndale, Eureka cities (Humboldt district, California province)",,,,,,,,7,Richter,40.652,-124.6925,04:27,,2010,1,10,2010,1,10,,30,600,,630,,,,,12500,15533,80.47228515,2,,28876,Humboldt (Adm2).
2011-0228-MEX,2011,0228,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Beatrix""",Mexico,MEX,Central America,Americas,"Guerrero, Colima, Jalisco, Michoacan, Oaxaca provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,110,Kph,,,,,2011,6,20,2011,6,20,3,,450,,450,,,,,,,83.01267439,1,2035;2039;2041;2043;2047,,"Colima, Guerrero, Jalisco, Michoacan, Oaxaca (Adm1)."
